Name,SoftDev,,,,,
Modules,8,,,,,
Rooms,5,,,,,
Days,5,,,,,
PeriodsPerDay,6,,,,,
Curriculan,2,,,,,
Constraints,8,,,,,
,,,,,,
,,,,,,
Module,MachineLearning,jim,4,2,40,1
Module,SecurityForSoft,eli,4,2,30,1
Module,EmbeddedSysEng,nora,4,2,40,1
Module,AppDevFramework,jimothy,4,3,30,1
Module,ScaleMicroservi,Harry,4,2,30,1
Module,EmbeddSysEng,cilian,4,2,30,1
Module,SoftDefNetwork,aaron,4,3,35,1
Module,EmbedSoftSecure,dylan,4,4,40,0
,,,,,,
Room,Ae,30,0,,,
Room,Ab,40,0,,,
Room,Be,25,1,,,
Room,Ba,35,1,,,
Room,Cb,40,2,,,
,,,,,,
,,,,,,
Curricula,SoftwareDev,MachineLearning,SecurityForSoft,EmbeddedSysEng,AppDevFramework,
Curricula,CompSys,EmbeddSysEng,ScaleMicroservi,SoftDefNetwork,EmbedSoftSecure,
,,,,,,
UnavailConst,MachineLearning,3,0,,,
UnavailConst,MachineLearning,3,1,,,
UnavailConst,ScaleMicroservi,1,1,,,
UnavailConst,ScaleMicroservi,2,0,,,
UnavailConst,AppDevFramework,1,0,,,
UnavailConst,AppDevFramework,2,1,,,
UnavailConst,SecurityForSoft,3,2,,,
UnavailConst,EmbeddedSysEng,1,3,,,
